LOV2dksat,,
Wavelength (nm),Abs,
550.0435181,0.06969697028,
548.9932251,0.06996452808,
547.942627,0.07054171711,
547.0419312,0.07056605071,
545.9908447,0.07090365887,
544.9395752,0.07148829103,
544.038208,0.07179430872,
542.9863892,0.07214021683,
541.9343872,0.07248526067,
541.0324097,0.07258345932,
539.9798584,0.07308253646,
538.927063,0.07336938381,
538.0244751,0.07382143289,
536.9712524,0.0742001906,
536.0682373,0.07438954711,
535.0145264,0.07490986586,
533.9605103,0.07545399666,
533.0569458,0.07580844313,
532.0025024,0.07597251236,
530.9477539,0.07634250075,
530.0435791,0.07681452483,
528.9884033,0.07705976814,
527.9329834,0.07773512602,
527.0281372,0.0779986456,
525.972229,0.07854232192,
525.0670166,0.07920821756,
524.0106812,0.0794897303,
522.9541016,0.08043073863,
522.0482788,0.0804445371,
520.9912109,0.08069237322,
519.9338989,0.08129286766,
519.0274658,0.08258225769,
517.9697266,0.08297709376,
517.0628662,0.08377143741,
516.0046997,0.08407517523,
514.946228,0.08494888991,
514.0388184,0.0855229646,
512.9799194,0.08707592636,
512.0720825,0.08790588379,
511.0127563,0.08948865533,
509.9531555,0.09133470803,
509.0447693,0.09250805527,
507.9847107,0.09447942674,
506.9244385,0.09750456363,
506.0154419,0.1002737135,
504.9547424,0.1035218835,
504.0453491,0.106281586,
502.9841919,0.1115604863,
502.0744324,0.1178294569,
501.0128479,0.1252369732,
499.9509888,0.1340959668,
499.0406799,0.1427682787,
497.9783936,0.1546700597,
497.067688,0.1670275182,
496.0049744,0.1848915964,
494.9420166,0.2077349573,
494.0307312,0.2317349911,
492.9673462,0.2598592639,
492.0556946,0.283583194,
490.9918823,0.3168882132,
489.9278564,0.3737412989,
489.015625,0.4203236699,
487.9511414,0.4753189385,
487.0385437,0.5067687035,
485.9736633,0.5738991499,
485.0606995,0.6385565996,
483.9953613,0.6931087375,
482.9298096,0.7466729283,
482.0162964,0.7894622087,
480.9503174,0.829634726,
480.036438,0.8636921644,
478.9700317,0.9021331072,
478.0558167,0.9263662696,
476.9889832,0.9454579353,
476.0743713,0.9520828724,
475.0071411,0.9606230855,
473.9396667,0.9647983313,
473.0245361,0.9663575888,
471.956665,0.9641421437,
471.0411377,0.957973659,
469.9728699,0.9517449737,
469.0570068,0.9422194958,
467.9883118,0.9318532348,
467.0720825,0.922495544,
466.0029602,0.9114221931,
464.9336243,0.9043509364,
464.0168762,0.8970906138,
462.9471436,0.8916279078,
462.0300598,0.8921414018,
460.9598999,0.897769928,
460.04245,0.9044158459,
458.9718933,0.9170869589,
458.0541077,0.9317182302,
456.9831543,0.9599368572,
456.065033,0.9824990034,
454.9936829,1.014170766,
454.0751953,1.036895394,
453.0034485,1.060271502,
451.931488,1.087417603,
451.0124817,1.110415578,
